Sl. No.,Airline,Year,Total Departures Scheduled,No. of flights cancelled,% Cancellation,Cancellation Due to Technical,Cancellation Due to Commercial,Cancellation Due to Operational,Cancellation Due to Weather,Cancellation Due to Misc
1,Air Asia,2022,54451,104,0.19,13,13,14,64,0
2,Air India,2022,87191,379,0.43,122,100,56,55,46
3,Akasa Air,2022,4343,14,0.32,10,0,0,4,0
4,Alliance Air,2022,35674,614,1.72,179,96,67,244,28
5,Fly Big,2022,5848,278,4.75,54,6,20,188,10
6,Go First,2022,72338,49,0.07,12,0,7,30,0
7,Indiaone Air,2022,80,0,0,0,0,0,0,0
8,IndiGo,2022,559476,4071,0.73,613,772,1210,1476,0
9,Spice Jet,2022,89883,533,0.59,151,2,0,278,102
10,Star Air,2022,6098,70,1.15,24,12,5,0,29
11,Trujet,2022,420,44,10.48,0,44,0,0,0
12,Vistara,2022,80451,257,0.32,6,120,0,68,63
13,Air Asia,2023,59206,61,0.1,19,0,16,26,0
14,Air India,2023,105999,488,0.46,181,27,89,168,23
15,AIX Connect,2023,10866,49,0.45,14,0,6,29,0
16,Akasa Air,2023,39879,84,0.21,1,0,73,2,8
17,Alliance Air,2023,38735,1068,2.76,324,34,358,323,29
18,Fly Big,2023,5394,180,3.34,32,0,0,148,0
19,Go First,2023,22468,15,0.07,11,0,0,4,0
20,Indiaone Air,2023,3243,556,17.14,424,0,90,30,12
21,Indigo,2023,615633,4258,0.69,931,74,72,2185,996
22,Spice Jet,2023,59986,432,0.72,150,0,0,186,96
23,Star Air,2023,7890,62,0.79,18,0,10,20,14
24,Vistara,2023,89867,174,0.19,4,2,0,89,79
25,Air India,2024,110351,1067,0.97,107,15,645,272,28
26,AIX Connect,2024,40167,299,0.74,140,0,77,82,0
27,Akasa Air,2024,33204,118,0.36,41,0,32,35,10
28,Alliance Air,2024,24281,1025,4.22,572,27,359,67,0
29,Fly Big,2024,2119,415,19.58,169,45,14,169,18
30,Fly91,2024,1744,50,2.87,13,0,22,15,0
31,Indiaone Air,2024,3022,200,6.62,10,0,164,26,0
32,Indigo,2024,492746,7135,1.45,936,0,0,3951,2248
33,Spice Jet,2024,35208,766,2.18,305,2,0,255,204
34,Star Air,2024,10333,69,0.67,19,2,18,20,10
35,Vistara,2024,75574,561,0.74,3,0,0,110,448
36,Zoom,2024,104,2,1.92,2,0,0,0,0
